

This file contains example of DCW-calculation

SMILES:  c1c(ccc2c1/C(=N\O)/C(=N2)c1c[nH]c2c1cc(cc2)Br)Br
Set (+):   training +; invisible training -; calibration #
Number of structure 1
CAS  1
Number of Monte Carlo optimization probe 1
Threshold 4
SMILES is used in the model

ID is the number of SMILES attribute (SA) in global list of SA
CW(SA) is the correlation weight for SA
NT is the number of SA in training set
NiT is the number of SA in invisible training set
NC is the number of SA in calibration set

 Structural :            :     :     :     :    
  attribute :   CW(SA)   : ID  : NT  : NiT : NC 
    (SA)    :            :     :     :     :    

c...........:     -0.2014:  187:   29:   29:    7
1...........:      0.8219:   37:   29:   29:    7
c...........:     -0.2014:  187:   29:   29:    7
(...........:     -0.5351:   20:   29:   29:    7
c...........:     -0.2014:  187:   29:   29:    7
c...........:     -0.2014:  187:   29:   29:    7
c...........:     -0.2014:  187:   29:   29:    7
2...........:     -0.0697:   45:   29:   29:    7
c...........:     -0.2014:  187:   29:   29:    7
1...........:      0.8219:   37:   29:   29:    7
/...........:      1.2670:   31:   17:   12:    3
C...........:     -0.0110:   66:   29:   29:    7
(...........:     -0.5351:   20:   29:   29:    7
=...........:     -0.0691:   54:   29:   29:    7
N...........:      0.3216:  127:   29:   29:    7
\...........:     -0.3664:  166:   17:   12:    3
O...........:      0.2490:  147:   28:   25:    5
(...........:     -0.5351:   20:   29:   29:    7
/...........:      1.2670:   31:   17:   12:    3
C...........:     -0.0110:   66:   29:   29:    7
(...........:     -0.5351:   20:   29:   29:    7
=...........:     -0.0691:   54:   29:   29:    7
N...........:      0.3216:  127:   29:   29:    7
2...........:     -0.0697:   45:   29:   29:    7
(...........:     -0.5351:   20:   29:   29:    7
c...........:     -0.2014:  187:   29:   29:    7
1...........:      0.8219:   37:   29:   29:    7
c...........:     -0.2014:  187:   29:   29:    7
c...........:     -0.2014:  187:   29:   29:    7
2...........:     -0.0697:   45:   29:   29:    7
c...........:     -0.2014:  187:   29:   29:    7
1...........:      0.8219:   37:   29:   29:    7
